"Gene","Median_R","P_value","FDR"
"ENSG00000224389",0.876889558289607,2.50353082259481e-55,7.70386504728875e-51
"ENSG00000131095",0.761639166370383,1.77752345179578e-33,3.64653011057732e-29
"ENSG00000133321",0.699121614070412,2.91844809548636e-26,4.49032423971531e-22
"ENSG00000159403",0.688542313424298,3.19479477411321e-25,3.27912295203332e-21
"ENSG00000229776",0.6878420613285,3.72966668793599e-25,3.27912295203332e-21
"ENSG00000233627",0.6878420613285,3.72966668793599e-25,3.27912295203332e-21
"ENSG00000145623",0.681801364139161,1.39258282733763e-24,1.07131396907084e-20
"ENSG00000134817",0.679172594068182,2.44644409008414e-24,1.67293283422376e-20
"ENSG00000196136",0.676016671269097,4.77508067609407e-24,2.93877565129533e-20
"ENSG00000205403",0.6632574088527,6.56740493066354e-23,3.67440335502507e-19
"ENSG00000182541",0.662079514782126,8.31160849349889e-23,4.26274694269913e-19
"ENSG00000168610",0.658026191662807,1.85433172752301e-22,8.77869167989816e-19
"ENSG00000026508",0.651077046203316,7.13409220785742e-22,3.13614693457412e-18
"ENSG00000132470",0.650471595967108,8.00937155644067e-22,3.28619175379723e-18
"ENSG00000064886",0.649099434302875,1.04011911017301e-21,3.90823514718306e-18
"ENSG00000142089",0.648903456384497,1.07955279965735e-21,3.90823514718306e-18
"ENSG00000185201",0.648600320100808,1.14345192796342e-21,3.90958919192114e-18
"ENSG00000069431",0.641312160451311,4.46935078558627e-21,1.44769328814801e-17
"ENSG00000138080",0.639806395060645,5.89628969071222e-21,1.81440626362596e-17
"ENSG00000013364",0.635577742264212,1.27341444667569e-20,3.73195327172421e-17
"ENSG00000088280",0.631965419428922,2.4352803898757e-20,6.81258619611408e-17
"ENSG00000106565",0.631439907467191,2.67426328806298e-20,7.15586346958903e-17
"ENSG00000069535",0.628848832934931,4.23180677450087e-20,1.07067927758214e-16
"ENSG00000135926",0.628693524463383,4.34924313329546e-20,1.07067927758214e-16
"ENSG00000273259",0.627387680787851,5.47146311906836e-20,1.29513740846132e-16
"ENSG00000197249",0.622690420582655,1.23832854286447e-19,2.8226552534093e-16
"ENSG00000105559",0.621260975063238,1.58343933473941e-19,3.48039965775723e-16
"ENSG00000182326",0.619055409400888,2.30816000687501e-19,4.89839308493502e-16
"ENSG00000159189",0.614642376107873,4.8628462027371e-19,9.97596689004173e-16
"ENSG00000185885",0.611450063458683,8.27655114240312e-19,1.64313568873567e-15
"ENSG00000128274",0.610951632378574,8.98824481079297e-19,1.72866418323576e-15
"ENSG00000172936",0.610482629380127,9.71242245694405e-19,1.81133735663686e-15
"ENSG00000170348",0.608411854212767,1.36536403361057e-18,2.47146953189791e-15
"ENSG00000158710",0.606817150524297,1.77185570650215e-18,3.11563107431339e-15
"ENSG00000110002",0.605226809476659,2.29439345774663e-18,3.92239308232108e-15
"ENSG00000213719",0.602427705255699,3.60330770236591e-18,5.96446675794565e-15
"ENSG00000163840",0.602291814879549,3.68272677762146e-18,5.96446675794565e-15
"ENSG00000111321",0.600673261532142,4.77086099988566e-18,7.52866331735803e-15
"ENSG00000173369",0.599981888154356,5.32631925895469e-18,8.19507481182769e-15
"ENSG00000134755",0.597255599436873,8.20194410218029e-18,1.2311718239624e-14
"ENSG00000143570",0.595277166152826,1.1190931586993e-17,1.63984450854737e-14
"ENSG00000067182",0.59480381269677,1.20508193087561e-17,1.72478051985601e-14
"ENSG00000143772",0.593992107307804,1.36780810337099e-17,1.90306977552038e-14
"ENSG00000003989",0.593839937662318,1.40062013166107e-17,1.90306977552038e-14
"ENSG00000221963",0.593740768640086,1.42241663970391e-17,1.90306977552038e-14
"ENSG00000164761",0.592295244979645,1.78041644598626e-17,2.33136063301656e-14
"ENSG00000216490",0.590106561405255,2.49582985023323e-17,3.20006983964071e-14
"ENSG00000149489",0.589589537954497,2.70212943138612e-17,3.39387456582096e-14
"ENSG00000187091",0.588975409805449,2.96889911521104e-17,3.65435854293096e-14
"ENSG00000073331",0.586895792302245,4.07772403919367e-17,4.92077349545364e-14
"ENSG00000138496",0.585260330620686,5.2253368358909e-17,6.18438711977057e-14
"ENSG00000132481",0.583116266952854,7.21754997837051e-17,8.38107350695914e-14
"ENSG00000178927",0.582415962133864,8.01649276875687e-17,9.13642649926616e-14
"ENSG00000126246",0.580549015720446,1.05926040513482e-16,1.18529313406577e-13
"ENSG00000012779",0.579448951839576,1.24723948381794e-16,1.37071619271591e-13
"ENSG00000185499",0.579207114007708,1.29273990106562e-16,1.39579621879268e-13
"ENSG00000224081",0.578805098906244,1.37198962806103e-16,1.45582292533427e-13
"ENSG00000123374",0.577869043159046,1.57535728682761e-16,1.64328455695794e-13
"ENSG00000181804",0.577438282739586,1.67856816220967e-16,1.72176331625053e-13
"ENSG00000177575",0.577324464051497,1.70692450152832e-16,1.72214691019769e-13
"ENSG00000129450",0.576229333021168,2.00480243721374e-16,1.99005743864326e-13
"ENSG00000115107",0.575319461349393,2.29041239346047e-16,2.23747841814493e-13
"ENSG00000100504",0.573857185835758,2.83464771040889e-16,2.72586810452195e-13
"ENSG00000275395",0.572808207247327,3.30090942956889e-16,3.12540261435982e-13
"ENSG00000240583",0.572622469278825,3.39093329108317e-16,3.16199391615792e-13
"ENSG00000021355",0.571638814377783,3.90915612087762e-16,3.59082245228794e-13
"ENSG00000051523",0.571058281899391,4.25048230207239e-16,3.84693651174623e-13
"ENSG00000203747",0.569898828875729,5.02150776642099e-16,4.47889382574802e-13
"ENSG00000169242",0.56866296508494,5.99361922380719e-16,5.26959002157128e-13
"ENSG00000158270",0.568414760806074,6.20991454043983e-16,5.38285887995534e-13
"ENSG00000149131",0.567679975917669,6.89588181633274e-16,5.88404356051268e-13
"ENSG00000134531",0.567595516676644,6.97931853499002e-16,5.88404356051268e-13
"ENSG00000111783",0.566070534887942,8.66695969495265e-16,7.20809956035359e-13
"ENSG00000188313",0.565744085200965,9.07690705709575e-16,7.44838890562534e-13
"ENSG00000130429",0.565418559824381,9.50452008732862e-16,7.69666031913885e-13
"ENSG00000143226",0.565064838411556,9.99146855132726e-16,7.98590831847903e-13
"ENSG00000160255",0.562960950369332,1.34326067953923e-15,1.04617938006504e-12
"ENSG00000002586",0.562819046453586,1.37024052050301e-15,1.04617938006504e-12
"ENSG00000002586",0.562819046453586,1.37024052050301e-15,1.04617938006504e-12
"ENSG00000018280",0.562763617825039,1.3809220496987e-15,1.04617938006504e-12
"ENSG00000205730",0.56269678903653,1.39390857216517e-15,1.04617938006504e-12
"ENSG00000028137",0.561513153061504,1.64468425843466e-15,1.21952346989281e-12
"ENSG00000077238",0.561393606171365,1.6723351412099e-15,1.22526421345978e-12
"ENSG00000197747",0.560993692904524,1.76817140354295e-15,1.28023930423115e-12
"ENSG00000144749",0.560569046457777,1.87580035730263e-15,1.34237508360271e-12
"ENSG00000110077",0.560095408107247,2.00339432002228e-15,1.41720574748795e-12
"ENSG00000174837",0.559917452676261,2.05349060470335e-15,1.4361366565439e-12
"ENSG00000171903",0.559650127887713,2.13105040501236e-15,1.47363332725933e-12
"ENSG00000204264",0.558808315107159,2.39442934686013e-15,1.637363996924e-12
"ENSG00000126561",0.558271644144195,2.57864344094085e-15,1.74395639482707e-12
"ENSG00000170458",0.557743150078269,2.77353477911269e-15,1.85537417875773e-12
"ENSG00000125810",0.55738511892265,2.91365470774766e-15,1.92815016487766e-12
"ENSG00000181826",0.557180778579153,2.99669700348203e-15,1.95884825499861e-12
"ENSG00000183196",0.557115522199974,3.02369986066665e-15,1.95884825499861e-12
"ENSG00000104375",0.556400471739256,3.33558454336413e-15,2.13838765767502e-12
"ENSG00000127507",0.554953629465712,4.06560756010219e-15,2.57952321318484e-12
"ENSG00000147065",0.553119840843501,5.2176055539255e-15,3.27665628786522e-12
"ENSG00000167208",0.552666412675526,5.54828874698531e-15,3.44913012772186e-12
"ENSG00000138193",0.552486225174756,5.68529891156895e-15,3.49896036213599e-12
"ENSG00000100336",0.55231284464288,5.82024575807714e-15,3.54654658351584e-12
"ENSG00000158714",0.552100989018157,5.98938438824627e-15,3.6138301253944e-12
"ENSG00000138119",0.551970550138151,6.09589698585625e-15,3.64238722424793e-12
"ENSG00000171885",0.551690232434349,6.33108512556711e-15,3.74654137469137e-12
"ENSG00000119655",0.550607738822708,7.32524333784121e-15,4.29356929508666e-12
"ENSG00000091409",0.550380105898913,7.55289300843793e-15,4.38523818218211e-12
"ENSG00000102007",0.549905692017111,8.04973470950068e-15,4.62317193564928e-12
"ENSG00000060138",0.5498474019731,8.11293658277205e-15,4.62317193564928e-12
"ENSG00000114698",0.549199292261587,8.84908870764608e-15,4.99640656351716e-12
"ENSG00000125730",0.54874189405684,9.40742033841986e-15,5.26336615734284e-12
"ENSG00000180353",0.548360247693622,9.89944672997762e-15,5.48875269864633e-12
"ENSG00000116132",0.548055198359396,1.03106844609688e-14,5.65257504725441e-12
